epochs,neuronsPerClass,LR,testClass,result,guessIndex
5,5,0.1,Standup_chair,-1,-1
5,5,0.1,Walk,-1,-1
5,5,0.1,Sitdown_chair,1.0,0
5,5,0.1,Use_telephone,-1,-1
5,5,0.1,Comb_hair,-1,-1
5,5,0.1,Getup_bed,-1,-1
5,5,0.1,Eat_soup,-1,-1
5,5,0.1,Descend_stairs,-1,-1
5,5,0.1,Liedown_bed,-1,-1
5,5,0.1,Drink_glass,-1,-1
5,5,0.1,Eat_meat,-1,-1
5,5,0.1,Brush_teeth,-1,-1
5,5,0.1,Pour_water,-1,-1
5,5,0.1,Climb_stairs,-1,-1
,,,,,
5,10,0.001,Standup_chair,0.0891089108910891,3
5,10,0.001,Walk,0.5281501340482574,0
5,10,0.001,Sitdown_chair,-1,-1
5,10,0.001,Use_telephone,0.3285302593659942,0
5,10,0.001,Comb_hair,0.1271551724137931,1
5,10,0.001,Getup_bed,0.03669724770642202,7
5,10,0.001,Eat_soup,0.15384615384615385,2
5,10,0.001,Descend_stairs,0.3333333333333333,1
5,10,0.001,Liedown_bed,0.15780141843971632,1
5,10,0.001,Drink_glass,0.42105263157894735,0
5,10,0.001,Eat_meat,0.39568345323741005,0
5,10,0.001,Brush_teeth,0.29129755080771236,0
5,10,0.001,Pour_water,0.2,0
5,10,0.001,Climb_stairs,0.11229946524064172,3
,,,,,
5,10,0.01,Standup_chair,0.40594059405940597,0
5,10,0.01,Walk,0.3109919571045576,1
5,10,0.01,Sitdown_chair,-1,-1
5,10,0.01,Use_telephone,0.26512968299711814,0
5,10,0.01,Comb_hair,0.3857758620689655,0
5,10,0.01,Getup_bed,0.05504587155963303,5
5,10,0.01,Eat_soup,0.0610079575596817,6
5,10,0.01,Descend_stairs,0.15765765765765766,2
5,10,0.01,Liedown_bed,0.16134751773049646,2
5,10,0.01,Drink_glass,0.15789473684210525,2
5,10,0.01,Eat_meat,0.2941646682653877,0
5,10,0.01,Brush_teeth,0.5799895779051589,0
5,10,0.01,Pour_water,0.06363636363636363,6
5,10,0.01,Climb_stairs,0.0213903743315508,7
,,,,,
5,10,0.1,Standup_chair,-1,-1
5,10,0.1,Walk,-1,-1
5,10,0.1,Sitdown_chair,-1,-1
5,10,0.1,Use_telephone,-1,-1
5,10,0.1,Comb_hair,1.0,0
5,10,0.1,Getup_bed,-1,-1
5,10,0.1,Eat_soup,-1,-1
5,10,0.1,Descend_stairs,-1,-1
5,10,0.1,Liedown_bed,-1,-1
5,10,0.1,Drink_glass,-1,-1
5,10,0.1,Eat_meat,-1,-1
5,10,0.1,Brush_teeth,0.19801980198019803,1
5,10,0.1,Pour_water,-1,-1
5,10,0.1,Climb_stairs,-1,-1
,,,,,
